Year,Type,Country,Area,Activity,Sex ,Fatal
2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,False
2017.0,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,False
2017.0,Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,True
2017.0,Invalid,USA,California,Surfing,F,True
2017.0,Unprovoked,USA,California,Swimming,F,False
2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,False
2017.0,Unprovoked,USA,South Carolina,Surfing,F,False
2017.0,Unprovoked,REUNION,Saint-Leu,Body boarding,M,True
2017.0,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,False
2017.0,Invalid,USA,Florida,Photo shoot,F,True
2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,False
2017.0,Invalid,USA,South Carolina,Swimming,M,True
2017.0,Unprovoked,USA,Florida,,,False
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,True
2017.0,Unprovoked,USA,Hawaii,Surfing,M,False
2017.0,Unprovoked,USA,Florida,Surfing,M,False
2017.0,Unprovoked,USA,Florida,Surfing,F,False
2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,True
2017.0,Unprovoked,USA,Florida,Surfing,F,False
2017.0,Unprovoked,USA,Florida,Paddle boarding,F,False
2017.0,Unprovoked,USA,Florida,Swimming,F,False
2017.0,Unprovoked,USA,Florida,Swimming,M,False
2017.0,Unprovoked,USA,Florida,Swimming,F,False
2017.0,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,False
2017.0,Unprovoked,USA,Florida,Swimming,F,False
2017.0,Unprovoked,USA,Florida,Surfing,M,False
2017.0,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,False
2017.0,Boating,USA,California,Kayaking,M,False
2017.0,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,False
2017.0,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,False
2017.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,False
2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2017.0,Unprovoked,REUNION,Saint-Andre,Body boarding,M,True
2017.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,False
2017.0,Unprovoked,USA,Florida,Swimming,M,False
2017.0,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,False
2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,False
2017.0,Boating,USA,South Carolina,Tagging sharks,,False
2017.0,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,False
2017.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,False
2017.0,Unprovoked,USA,Florida,,M,False
2017.0,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,M,False
2017.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,False
2017.0,Unprovoked,USA,Florida,,M,False
2017.0,Unprovoked,INDONESIA,Bali,Surfing,M,False
2017.0,Unprovoked,USA,Florida,Wading,M,False
2017.0,Invalid,AUSTRALIA,New South Wales,Wading,M,True
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,False
2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,M,False
2016.0,Unprovoked,AUSTRALIA,Western Australia,Free diving,M,False
2016.0,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,M,False
2016.0,Invalid,USA,Florida,Surfing,M,True
2016.0,Provoked,AUSTRALIA,New South Wales,Surf fishing,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Provoked,AUSTRALIA,Victoria,Fishing,M,False
2016.0,Unprovoked,USA,Hawaii,Floating,F,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Unprovoked,USA,Hawaii,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,False
2016.0,Unprovoked,USA,Hawaii,Snorkeling,F,False
2016.0,Invalid,MEXICO,,Cage Diving,M,True
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Unprovoked,USA,Oregon,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfng,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,California,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,False
2016.0,Boating,AUSTRALIA,Western Australia,Fishing,,False
2016.0,Unprovoked,USA,Florida,Wading,M,False
2016.0,Unprovoked,USA,Hawaii,Swimming,F,False
2016.0,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,M,True
2016.0,Unprovoked,USA,South Carolina,Boogie boarding,F,False
2016.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Body boarding,M,False
2016.0,Unprovoked,USA,California,Spearfishing,M,False
2016.0,Invalid,MEXICO,,Cage Diving,,True
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,REUNION,,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Wading,M,False
2016.0,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,M,False
2016.0,Unprovoked,USA,Hawaii,SUP Foil boarding,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,SPAIN,Alicante Province,Swimming,M,False
2016.0,Unprovoked,CHINA,Hong Kong,Swimming,M,False
2016.0,Boating,AUSTRALIA,Western Australia,Kayaking,M,False
2016.0,Provoked,USA,Florida,Lobstering,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Tasmania,Surfing,M,False
2016.0,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,False
2016.0,Provoked,AUSTRALIA,Queensland,Fishing,M,False
2016.0,Boating,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,,False
2016.0,Unprovoked,USA,Florida,Surfing,F,False
2016.0,Unprovoked,USA,Florida,,F,False
2016.0,Unprovoked,USA,California,Kite surfing,M,False
2016.0,Unprovoked,USA,South Carolina,Swimming,M,False
2016.0,Unprovoked,BAHAMAS,,Scuba Diving,M,False
2016.0,Unprovoked,SPAIN,Canary Islands,Wading,F,False
2016.0,Boating,USA,California,Fishing for squid,M,False
2016.0,Provoked,USA,Massachusetts,Fishing,M,False
2016.0,Boating,USA,California,Fishing for sharks,M,False
2016.0,Unprovoked,USA,Florida,Swimming,F,False
2016.0,Provoked,AUSTRALIA,Queensland,Fishing,M,False
2016.0,Unprovoked,USA,South Carolina,,M,False
2016.0,Unprovoked,USA,North Carolina,Surfing,M,False
2016.0,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,M,False
2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,False
2016.0,Unprovoked,USA,South Carolina,Floating,M,False
2016.0,Unprovoked,USA,Florida,Wading,M,False
2016.0,Unprovoked,USA,Hawaii,Surfing,M,False
2016.0,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,False
2016.0,Unprovoked,USA,Texas,Floating in tube,F,False
2016.0,Unprovoked,USA,North Carolina,Standing,M,False
2016.0,Invalid,USA,South Carolina,Surfing,M,True
2016.0,Unprovoked,USA,Florida,Swimming,M,False
2016.0,Unprovoked,AUSTRALIA,Western Australia,Diving,F,True
2016.0,Unprovoked,EGYPT,Suez,Swimming,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,True
2016.0,Unprovoked,NEW CALEDONIA,,Kite surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,True
2016.0,Unprovoked,USA,California,Swimming,F,False
2016.0,Unprovoked,USA,Florida,Swimming,M,False
2016.0,Unprovoked,USA,Florida,Swimming,F,False
2016.0,Unprovoked,USA,Florida,Swimming,F,False
2016.0,Unprovoked,USA,Florida,Swimming,F,False
2016.0,Unprovoked,USA,Florida,Swimming,M,False
2016.0,Provoked,USA,Florida,Teasing a shark,F,False
2016.0,Unprovoked,USA,Hawaii,Floating,M,False
2016.0,Provoked,NEW ZEALAND,North Island,Fishing,M,False
2016.0,Unprovoked,INDONESIA,Bali,Surfing,M,False
2016.0,Unprovoked,USA,Florida,Surfing,M,False
2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,False
2016.0,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,False
2016.0,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,False
2016.0,Unprovoked,USA,Florida,Spearfishing,M,False
2016.0,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,F,True
2016.0,Invalid,CAPE VERDE,Boa Vista Island,,M,True
2016.0,Unprovoked,USA,Florida,Fishing,M,False
2016.0,Invalid,USA,Florida,SUP,M,True
2016.0,Unprovoked,USA,Hawaii,Snorkeling,F,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Unprovoked,USA,Florida,,M,True
2016.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2016.0,Provoked,BAHAMAS,,,M,False
2016.0,Invalid,USA,California,Surfing,,True
2016.0,Unprovoked,USA,Florida,Body surfing,M,False
2016.0,Unprovoked,Fiji,Vanua Levu,Diving for beche-de-mer,M,True
2016.0,Unprovoked,USA,Florida,,M,False
2016.0,Unprovoked,AUSTRALIA,South Australia,Fishing,M,False
2016.0,Unprovoked,BRAZIL,Santa Catarina State,Swimming,M,False
2016.0,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,M,False
2016.0,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,M,False
2016.0,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,F,False
2016.0,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,M,True
2016.0,Invalid,AUSTRALIA,Tasmania,Surfing,M,True
2016.0,Unprovoked,AUSTRALIA,Queensland,Walking,F,False
2016.0,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,M,False
2016.0,Unprovoked,BRAZIL,Balneário Camboriú,Swimming,M,False
2016.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,False
2016.0,Unprovoked,USA,Hawaii,Surfing,M,False
2016.0,Unprovoked,USA,Hawaii,Surfing,F,False
2016.0,Unprovoked,USA,Texas,Spearfishing,M,False
2016.0,Boating,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,M,False
2016.0,Unprovoked,USA,Hawaii,Paddle boarding,M,False
2016.0,Unprovoked,AUSTRALIA,Queensland,Surfing,M,False
2016.0,Unprovoked,AUSTRALIA,Queensland,Wading,M,False
2016.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,False
2015.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,M,False
2015.0,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,False
2015.0,Unprovoked,USA,Hawaii,Paddle boarding,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,BRAZIL,Pernambuco,Scuba diving,M,False
2015.0,Unprovoked,ARUBA,,Sea disaster,M,True
2015.0,Boating,AUSTRALIA,New South Wales,Fishing,,False
2015.0,Unprovoked,BAHAMAS,,Lobster fishing,M,False
2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,F,False
2015.0,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Swimming,F,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Invalid,USA,Florida,Surfing,F,True
2015.0,Unprovoked,USA,Hawaii,Swimming,M,False
2015.0,Unprovoked,USA,Florida,Wading,F,False
2015.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,False
2015.0,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,False
2015.0,Unprovoked,USA,Hawaii,Body boarding,M,False
2015.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,F,True
2015.0,Invalid,USA,Hawaii,Surfing,M,True
2015.0,Unprovoked,USA,Hawaii,Swimming,M,False
2015.0,Boating,USA,California,Kayak Fishing,M,False
2015.0,Unprovoked,USA,South Carolina,Boogie boarding,F,False
2015.0,Unprovoked,USA,Hawaii,Surfing,M,False
2015.0,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,False
2015.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Body boarding,M,False
2015.0,Unprovoked,USA,Texas,Wading,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,False
2015.0,Boating,USA,California,Kayak fishing,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,USA,Hawaii,Spearfishing,M,False
2015.0,Unprovoked,USA,Florida,Wading,M,False
2015.0,Unprovoked,USA,Florida,Photographing fish,M,False
2015.0,Boating,USA,California,Kayak Fishing,M,False
2015.0,Unprovoked,USA,Florida,Swimming,M,False
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,USA,California,Stand-Up Paddleboarding,F,False
2015.0,Provoked,USA,California,Kayak Fishing,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,False
2015.0,Unprovoked,USA,South Carolina,,M,False
2015.0,Unprovoked,THAILAND,Phuket,Wading,F,False
2015.0,Unprovoked,FIJI,,Spearfishing,M,False
2015.0,Unprovoked,USA,California,Surfing,F,False
2015.0,Unprovoked,USA,California,Surfing,M,False
2015.0,Invalid,USA,Florida,,M,True
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,USA,South Carolina,Surfing,M,False
2015.0,Unprovoked,USA,Florida,Walking,F,False
2015.0,Boating,USA,California,Kayak Fishing,M,False
2015.0,Invalid,SPAIN,Alicante,Swimming,M,True
2015.0,Provoked,USA,California,Spearfishing,M,False
2015.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,False
2015.0,Unprovoked,COSTA RICA,Guanacaste,Surfing,M,False
2015.0,,AUSTRALIA,Victoria,Surfing,M,True
2015.0,Unprovoked,USA,Florida,Surfing,M,False
2015.0,Invalid,USA,South Carolina,Floating,F,True
2015.0,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,M,True
2015.0,Provoked,USA,California,Kayak Fishing,M,False
2015.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,False
2015.0,Unprovoked,REUNION,,Surfing,M,False
2015.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,False
2015.0,Unprovoked,USA,California,Surfing,M,False
2015.0,Invalid,USA,California,Treading water,M,True
